station_id,station_latitude,station_longitude,"(34.6951242, 135.1978525)","(35.6580681, 139.7515992)","(33.5892157, 130.3928134)","(35.6465721, 139.6532473)","(34.7053617, 135.5100252)","(35.6617773, 139.7040506)","(35.6995657, 139.6364379)","(34.3862445, 132.4550176)","(35.6721142, 139.7708253)","(35.6938401, 139.7035494)","(35.6414629, 139.6981712)","(34.7594526, 135.51686)","(35.7140142, 139.4078431)","(33.5913576, 130.4148783)","(34.7108955, 137.7259397)","(43.0554601, 141.3409556)","(35.6749184, 139.736775)","(35.6706505, 139.7718614)","(34.7569503, 134.8411775)","(35.6940027, 139.7535951)","(34.6812614, 135.5098009)","(35.602201, 139.6976891)","(34.7375965, 135.3415643)","(35.629564, 139.6849922)","(43.7706355, 142.364819)","(35.7756644, 139.8044788)","(34.6762311, 135.4860587)","(33.3192865, 130.5083735)","(38.2690761, 140.8704029)","(35.546631, 139.4386186)","(35.7177841, 139.56626)","(35.7356234, 139.6516577)","(33.8808817, 130.8734191)","(35.7261178, 139.7166049)","(35.6092261, 139.7301861)","(34.7012792, 135.5280905)","(35.7379419, 139.7310979)","(35.662665, 139.6682677)","(43.0908503, 141.3408314)","(33.5902074, 130.3976602)","(33.5808273, 130.3507639)","(43.0364075, 141.4747892)","(44.0206319, 144.2733983)","(34.7202277, 135.265455)","(35.6427447, 139.6413873)","(43.0744699, 141.3008887)","(35.6728535, 139.8174097)","(35.7511648, 139.7092437)","(33.5756863, 130.3699764)","(35.0955842, 138.8634925)","(34.638969, 135.5184958)","(33.5819411, 130.3484363)","(35.6092076, 139.6693609)","(35.712607, 139.7799956)","(33.5573203, 130.195555)","(35.704686, 139.5754071)","(42.9941431, 143.1979595)","(35.7528042, 139.7334805)","(34.6923371, 135.4722289)","(33.5615691, 130.4264283)","(35.6994733, 139.5029916)","(34.4858993, 133.3623127)","(35.7262319, 139.7232404)","(35.6921398, 139.6854735)","(35.7080677, 139.752167)","(34.5732536, 135.4831008)","(35.6021252, 139.6719581)","(33.8810679, 130.881838)","(35.7248234, 139.7159634)","(33.5869938, 130.3948938)","(35.7043442, 139.7914285)","(34.7997673, 135.3600729)","(35.6692904, 139.7070557)","(37.3718999, 138.5589836)","(34.7337339, 135.4063757)","(35.6712704, 139.7969871)","(37.9163674, 139.0363265)","(35.5612568, 139.7160511)","(37.8742227, 138.9719402)","(33.8664649, 130.7649232)","(35.7268018, 139.7581383)","(35.6689735, 139.4776614)","(34.9751398, 138.3832429)","(37.4462652, 138.8512772)","(35.7435748, 139.8471797)","(35.7118769, 139.7966971)","(34.6793301, 135.6010123)","(35.6995366, 139.8265727)","(35.7066569, 139.8684267)","(35.6429619, 139.6700376)","(35.7253002, 139.6961875)","(34.6882414, 135.1872537)","(34.815149, 134.6853528)","(35.6265683, 139.7258581)","(34.3889694, 132.4630947)","(33.5858162, 130.3986935)","(34.6647437, 135.5034436)","(35.6956944, 139.7593864)","(35.6593968, 139.6964402)","(35.7073985, 139.6638354)","(35.7322863, 139.710247)","(35.7081457, 139.666288)","(34.7660929, 135.6280998)","(35.6641222, 139.729426)","(43.0568187, 141.3539573)","(33.2119674, 130.5579082)","(34.6876966, 135.4954131)","(35.6532174, 139.7110363)"
aichi__ai-xi-kana__isaai,35.2166666667,136.698333333,148.760473717,281.515494243,607.092648959,272.51953505,122.458284924,277.332263893,272.027251284,399.040384831,283.484212938,277.889737368,276.447681723,119.199686347,252.042605468,605.079289414,109.342984384,957.952227144,280.494658027,283.55036856,177.064121527,282.353536984,123.751237016,275.760741597,134.80855934,275.065435156,1066.82573492,288.561478373,125.925777587,607.528362973,503.457389153,251.65674435,266.171199269,274.135090545,554.703509603,279.700821342,278.785627773,121.213790217,281.23606781,274.152478863,961.475242305,606.631484755,611.086034488,960.946453519,1172.92645608,141.970879636,271.391347235,958.410867878,287.659552991,279.581129979,609.587048001,197.730115255,125.4107014,611.249996166,273.33060302,285.067109499,625.56117453,266.705078942,1029.56923028,281.766221349,126.195031805,605.156353334,260.161060421,315.658089357,280.292958793,276.245966733,282.499417418,132.033528741,273.451178371,553.953149995,279.616973916,606.990671556,285.924542391,130.616446038,277.737695553,291.753837061,129.5700518,285.806380103,365.413682473,276.813153371,358.317684583,564.768432586,283.407225979,257.276988473,155.949795899,313.946330784,291.667386955,286.540246809,116.621207482,288.966261017,292.833204578,273.957135493,277.869335719,149.954894481,189.044686144,278.675721536,398.24548872,606.700095967,125.156714539,282.902220456,276.609346965,274.623847637,279.264890739,274.857241366,109.752890957,279.641615224,958.556679685,607.836335812,124.564101408,277.803512526
aichi__aki-kana__azo,35.0783333333,137.413333333,206.934422525,222.009692079,666.65817937,213.104447498,178.827179291,217.995118473,213.408093557,460.497590281,224.117668159,218.995182216,216.849902826,176.867128457,194.430300508,664.625726265,49.7803314666,948.288407321,221.251708804,224.161850063,237.72409745,223.324942985,179.509040673,215.641639948,193.072081443,215.339181899,1054.51606818,230.506426202,181.755233445,665.490047333,469.89044063,191.362626123,208.044234132,215.991711913,615.15394377,221.219992715,218.687612323,177.331578294,222.878093524,214.921026357,951.924341779,666.195482063,670.665898735,950.531312732,1153.71763938,200.290835775,211.953869286,949.015025897,228.189550583,221.47819568,669.114916611,132.254852412,179.994835062,670.838607046,213.367700954,226.219576135,685.229628933,208.351340516,1010.85982046,223.610540894,182.537025993,664.534148577,201.969074445,376.538776398,221.794061047,217.378363854,223.666302359,185.252961573,213.387937293,614.394152032,221.119848769,666.542083861,226.935115838,190.102289035,218.495298663,274.547913454,187.358651401,226.364702228,346.863676056,216.12987196,340.231356503,625.276170765,224.814658348,198.699282876,89.2493945614,292.799205925,233.052201464,227.637848829,171.494968552,229.822329463,233.677421356,214.449512008,219.438175101,208.048420262,250.890074144,218.814059443,459.710788997,666.240346516,180.54630507,223.881145116,217.25926912,216.034962768,220.890195293,216.271700584,166.759507764,220.271694077,948.829872227,665.113005947,180.605170992,218.332601701
aichi__centrair-kana__centrair,34.8583333333,136.805,148.21928711,282.425837676,607.247882359,273.551437751,119.736542811,278.447541339,273.969303596,402.307592979,284.555476503,279.514230965,277.257610274,118.373206947,255.089726416,605.209058888,85.8625238614,990.89746232,281.71485452,284.595724785,180.041010108,283.818834631,120.18184727,275.94268783,134.588800911,275.724782306,1098.84912491,291.109323143,122.420977664,605.536094716,524.949362902,251.67826599,268.66031471,276.599212634,556.180829617,281.788311508,278.987299879,118.168758833,283.458114649,275.395615798,994.462920514,606.784869034,611.258789225,993.621484289,1202.17777004,141.730649102,272.398905137,991.452258766,288.602367451,282.084448964,609.687856621,189.798906708,120.28700492,611.434933394,273.708179295,286.735897332,625.849426882,268.946611973,1058.97611509,284.210069096,123.378858924,605.050843144,262.585321029,318.202044814,282.359711063,277.903227092,284.187820588,125.150123525,273.706314149,555.417044254,281.686431093,607.126162572,287.430021778,132.33692231,278.962683859,320.493502337,128.736999391,286.785592078,393.957368839,276.285500169,387.030516501,566.322654775,285.365927141,259.282583709,144.800141626,341.108233326,293.591473268,288.144606342,111.991902986,290.289258441,294.137079358,274.877948943,280.013884829,149.2828843,193.937812924,279.165596063,401.527635579,606.820128393,121.079250025,284.375408329,277.710659294,276.596654944,281.470456065,276.833510755,108.166411443,280.714920776,991.479630468,604.982787204,121.36342045,278.761143993
aichi__chapel-mountain-kana__chaw-yama,35.22,137.66,232.290097123,196.028930411,692.042696232,187.076948033,204.483248607,191.950201683,187.129754916,485.124064592,198.093154694,192.809920638,190.89213076,202.223707628,167.843823578,690.015807876,56.8001553167,926.006772344,195.181291107,198.144796991,262.428053755,197.189067299,205.292741693,189.873299351,218.35414932,189.424270862,1031.53487333,204.100547208,207.535599138,691.333861539,443.438343695,165.616681746,181.617428818,189.584360467,640.224875607,194.915703139,192.91637352,203.032106265,196.541919343,188.835599814,929.667774605,691.580371231,696.046841922,928.064745502,1129.2156481,225.585905985,185.931856425,926.798849161,202.206774467,195.069817674,694.512020616,110.517939881,206.000389972,696.216797759,187.536031625,200.03235255,710.585614817,181.987260289,986.516460334,197.220028862,208.216611219,689.977189121,175.547604984,401.341529634,195.495956347,191.181914454,197.470349034,211.50957732,187.594240161,639.468266786,194.82005468,691.931066588,200.793005975,215.03965146,192.419880538,252.065192426,212.734892301,200.36929684,323.573337647,190.591271575,317.086425523,650.329142204,198.548886008,172.379499624,71.3209069288,269.190517177,206.806622273,201.469838897,197.404625581,203.734050383,207.599107359,188.45611357,193.116583714,233.428168633,275.170899174,192.954356203,484.333551338,691.632800889,206.406539661,197.743845976,191.217372634,189.752619245,194.555238533,189.988813757,192.213287684,194.241746509,926.532368817,691.125369986,206.337505266,192.33351355
aichi__gamagori-kana__gamagori,34.845,137.216666667,185.551102271,247.697421483,643.912231147,238.921221853,156.985300374,243.820606094,239.699304571,439.617310301,249.876898518,245.081393186,242.520078921,155.832034252,221.429026048,641.869316663,48.9321741816,978.751267718,247.109808947,249.90697698,217.592052664,249.297655455,157.314545219,240.97731578,172.018735834,240.938830812,1085.29522064,256.983746783,159.543021947,641.711119666,501.272340282,216.802498862,234.653909333,242.52836839,593.125729471,247.528710358,244.012539921,155.389468669,249.243496764,240.836695789,982.374520702,643.449099184,647.924491629,981.083233269,1185.04287246,179.125052486,237.76623625,979.445620541,253.85288859,247.994877965,646.339579442,152.935903869,157.17662263,648.103044172,238.827867839,252.278540809,662.530898927,234.8339751,1042.14444031,250.082537954,160.58682914,641.662061286,228.595221577,355.499095888,248.088169987,243.493250845,249.752879941,161.6456555,238.780485459,592.360021994,247.42008514,643.78650986,252.904261805,169.922139983,244.375430215,305.317003214,166.137379076,252.059636939,377.88617603,241.063250864,371.20501549,603.275425236,251.032599568,225.140433398,107.583485094,323.952288928,259.197692859,253.653817889,149.051335307,255.676653117,259.496786238,240.196824141,245.788584363,186.594693841,231.57322947,244.296514018,438.839740881,643.477456878,158.129407527,249.85415625,243.082615044,242.32243875,247.26122161,242.559212157,145.621390797,246.058667042,979.30043242,640.934368522,158.536737302,244.071522437
aichi__horai-kana__horai____2002-12-24,34.9316666667,137.575,219.068825321,213.750029163,677.878044142,205.008051737,190.580254993,209.905227069,205.904715162,473.15458201,215.942571861,211.226506487,208.573033706,189.199754583,187.900834495,675.836606297,28.1163897336,958.784901072,213.198966129,215.969690513,250.779615403,215.41130928,190.998296045,206.970500478,205.422478154,206.979062458,1064.14083578,223.226025738,193.23458441,675.802421217,473.316425171,182.832459769,200.963194365,208.804324297,626.9589267,213.73099333,210.002083925,189.007368735,215.460276724,206.94426714,962.450404394,677.41494601,681.889888593,960.805919868,1161.11724665,212.572768797,203.853095988,959.588821833,219.896320983,214.25844992,680.310116428,119.001391055,191.000056457,682.06754194,204.84372853,218.410504434,696.490636173,201.10203551,1018.52795257,216.330123893,194.215641304,675.646859424,194.918143747,389.051068912,214.285793586,209.647168828,215.893883485,195.61822287,204.784599118,626.194316737,213.620086699,677.75380981,219.014124528,203.050109179,210.47178552,284.878484989,199.579350836,218.110566574,356.172673537,206.99967958,349.731146651,637.104226761,217.206549028,191.407959417,73.981982333,301.709644424,225.345594934,219.774183357,182.780195204,221.758378101,225.56823709,206.267553936,212.004534634,220.132900153,264.502999686,210.312562669,472.374338593,677.445867573,191.866710824,215.9674174,209.167373853,208.524025053,213.481640006,208.760562541,178.997105342,212.133131145,959.307511288,675.053828856,192.191709837,210.137378892
aichi__ichinomiya-kana__ichinomiya,35.2983333333,136.853333333,165.281930497,266.02944604,623.121755035,257.032206303,139.154750667,261.821509841,256.397137749,414.77189392,267.968371245,262.297263242,260.988293357,135.824134059,236.288247014,621.112019198,102.916636028,944.086648192,264.960822901,268.038555369,193.19289139,266.777393005,140.471906213,260.407559413,151.349528555,259.63374073,1052.62050413,272.810710841,142.641064854,623.79012372,486.996902606,236.390026074,250.469873207,258.422050456,570.586807316,264.03384226,263.422576328,137.923361431,265.546048333,258.627702281,947.626839017,622.660949357,627.11186162,946.975388148,1157.87645581,158.491448324,255.910375848,944.583762756,272.156382346,263.85232765,625.621843621,184.436410728,142.162632039,627.274326355,257.949679321,269.454265982,641.568942392,251.039940693,1014.5511996,266.042302815,142.887298609,621.216615816,244.481866119,331.568969714,264.62802559,260.651592423,266.888270743,148.797732629,258.090666037,569.83848487,263.952877539,623.022146491,270.335466596,147.033618637,262.208548449,276.380192678,146.163432797,270.300865628,350.042305452,261.580413366,342.983697151,580.637777249,267.752994694,241.668245056,143.964748619,298.234515466,276.003929417,270.934688485,133.373583133,273.400199395,277.263230244,258.484841858,262.197134727,166.481827345,204.905015782,263.26453549,413.975565058,622.73348663,141.888515341,267.323804723,261.102306754,258.983917299,263.580925906,259.216328956,126.438432158,264.132976946,944.682299847,624.179168714,141.272424428,262.317258402
aichi__ikki-kana__ishiki,34.8116666667,137.028333333,168.096567849,265.066998204,626.297651479,256.267557107,139.507515883,261.167605788,256.965123571,422.124462258,267.236528275,262.386082542,259.890232346,138.458534841,238.537904021,624.254532247,64.8384597497,988.253158995,264.45298596,267.268766038,200.271997173,266.623165318,139.799402672,258.393477076,154.619710404,258.31867032,1095.39521395,274.221290652,142.024093823,624.095170237,515.21800231,234.194118597,251.855202066,259.748134088,575.53831819,264.794649317,261.431249836,137.9024194,266.499519721,258.16808569,991.852905235,625.834515711,630.309962566,990.748595595,1196.60250628,161.703205203,255.112769753,988.889440241,271.228369949,265.220998529,628.724335249,170.553729213,139.608667648,630.488643699,256.226506797,269.590773291,644.917163904,252.06098199,1053.56772996,267.318364762,143.093353824,624.04501074,245.790133178,338.00582749,265.357045518,260.792320091,267.059402915,144.034661543,256.188269058,574.772344649,264.687551192,626.171719867,270.231757402,152.655476467,261.714005064,315.750324284,148.723685565,269.429783543,388.774398466,258.52804505,381.986020132,585.689023567,268.316549049,242.370799278,125.167150421,335.225539816,276.497626203,270.973829606,131.520439165,273.023690244,276.850675823,257.554430119,263.045996977,169.131172913,214.366281885,261.694225225,421.347871286,625.86251199,140.592838691,267.179835492,260.429650289,259.590099245,264.515356862,259.826968701,128.250845225,263.412555699,988.816161882,623.330369505,141.033020829,261.431981989
aichi__inake-kana__inab,35.2116666667,137.506666667,218.527841509,209.770626647,678.24029463,200.807334527,190.811809076,205.673053532,200.769131618,471.205340997,211.820342603,206.483324943,204.642689625,188.473295764,181.345192322,676.214689897,59.0547604307,931.493891115,208.894475024,211.874356383,248.538715619,210.878819273,191.660628704,203.67627639,204.579859746,203.187982331,1037.60434163,217.676779971,193.901264646,677.652970589,453.108133659,179.434291912,195.193870126,203.166155483,626.36349812,208.540930453,206.717607374,189.374827337,210.152795598,202.546189525,935.134637138,677.778065544,682.243535551,933.702915656,1136.65887892,211.811967464,199.664451777,932.23294096,215.945697455,208.648670448,680.712308722,124.298170804,192.446584988,682.41288671,201.323471487,213.702182862,696.776488182,195.592403881,993.806922986,210.806262402,194.550391596,676.187961919,189.129701344,387.450102797,209.123541628,204.851776062,211.137869589,198.05964032,201.391572711,625.607453199,208.447213504,678.129647025,214.479166011,201.198188248,206.132438226,257.669406236,198.984691387,214.104917237,329.885045642,204.445692734,323.269581594,636.464436658,212.18857171,186.008743371,84.1268258734,275.782472281,220.451280869,215.146294572,183.819980708,217.438065781,221.305189184,202.19671376,206.735217252,219.67123662,261.231203816,206.732325828,470.414429644,677.832153841,192.799522832,211.432877502,204.941490848,203.389196338,208.167484434,203.625064386,178.492010004,207.968592112,932.032389985,677.501631533,192.688431963,206.070871079
aichi__iragaka-kana__iraco,34.6283333333,137.093333333,173.899386659,267.817712225,628.760171792,259.196887235,145.370518155,264.07910534,260.381495131,426.753472221,270.048625547,265.559827552,262.651036103,145.176225738,242.814674392,626.708860269,58.6994780875,1005.20796572,267.380528361,270.066325884,206.849268455,269.657603681,145.279436952,260.828951388,160.985013364,261.017215732,1111.82469234,277.7524277,147.437345376,625.487904449,527.031997392,236.884761806,255.637136514,263.411388281,578.776047523,268.18982964,263.838837205,143.69495979,269.946601053,261.187969292,1008.82760996,628.297130542,632.772476195,1007.56372742,1211.55432373,167.829739747,258.044068618,1005.893167,273.922589206,268.836157543,631.154438575,169.959887475,144.405189573,632.956840743,258.797703834,272.700050325,647.406373313,255.705861945,1068.67148677,270.875525256,148.76449498,626.382540003,249.622193192,342.767688604,268.734001404,264.004141142,270.209933366,147.830259343,258.692675325,578.00539594,268.0742791,628.624681042,273.244544787,159.90748613,264.678482993,331.855274422,155.034168478,272.165211106,404.443695465,260.570677385,397.761208966,588.939409915,271.598656644,246.025310648,124.147545507,350.503338572,279.664842756,274.031600282,136.918156695,275.904232808,279.676810696,260.406112032,266.49400252,174.84651082,221.527725088,264.256726538,425.987565646,628.308450051,145.813909371,270.211781358,263.342920897,262.988948746,267.978044676,263.224642897,135.115119582,266.272850983,1005.75926659,624.291017165,146.621925169,264.253967197
