station_id,station_latitude,station_longitude,"(35.6436746642265, 139.668220854814)","(34.8299255519268, 134.67307503026)","(35.6686002312873, 139.763042710922)","(33.576378885814, 130.339313030944)","(35.7049600607628, 139.828642317999)","(34.3921061951814, 132.461913549062)","(35.7504730896129, 139.668412382952)","(34.8446959955273, 135.200009648607)","(34.6695141138059, 135.501425073088)","(35.6592135750057, 139.699736413293)","(34.9761959856874, 138.395167116889)","(34.7833546642214, 135.626893879107)","(35.1435065774705, 138.824720764706)","(35.7113526946999, 139.782683762559)","(35.6707278552571, 139.824575523243)","(33.5898057431799, 130.400170103423)","(35.6913840261435, 139.701256018243)","(34.6921090191178, 135.19169838649)","(34.721643852576, 137.738944248312)","(34.7008890686831, 135.523532507624)","(34.5429737840978, 135.483425913341)","(34.7628842428802, 135.351271325934)","(34.6642578923122, 135.097043633343)","(35.7704936763352, 139.725523823653)","(35.7045268734617, 139.746450221751)","(35.7033806289694, 139.660343438851)","(35.5127621813484, 139.495732838814)","(43.0550467342327, 141.353236099251)","(33.5938114369172, 130.407306147911)","(38.2609292213358, 140.879943773246)","(34.6864822282026, 135.504173905849)","(35.6957799197548, 139.768452660487)","(37.9141796404018, 139.060023533565)","(35.7300682724374, 139.711742036854)","(43.0626508559011, 141.35141885084)","(34.4896774918856, 133.362129875602)","(35.6661365113171, 139.733978129589)","(35.6825041877889, 139.773619351768)","(43.1298785546459, 143.714585146618)","(35.5496703891492, 139.448494440035)","(34.7491925683586, 135.410836568174)","(34.6463123135796, 135.513197204085)","(33.5568813625172, 130.415134494467)","(43.7680334140293, 142.359663830444)","(35.6641613578352, 139.540968681458)","(34.6633947065657, 134.967793581374)","(38.2637658039492, 140.870328746743)","(33.586969256765, 130.392800598517)","(34.7015189521487, 135.498858596496)","(35.6371829456301, 139.737998019487)","(34.405829139868, 132.453737641663)","(35.6467447985159, 139.707924045163)","(43.0981588902961, 141.351928620239)","(37.9224038247084, 139.04490438335)","(34.8483344010984, 135.617700846468)","(43.0393556174936, 141.42905073338)","(33.3116451885167, 130.518556071422)","(35.6772067238161, 139.373869598931)","(35.68858932521, 139.731970982304)","(35.6284593898344, 139.778927275065)","(35.7554126329199, 139.808819886617)","(34.4438143992744, 135.359104867502)","(33.5893363895301, 130.418461937543)","(33.8815002311681, 130.887364287386)","(35.6482309999929, 139.369090338226)","(43.0171684632422, 141.364464259678)","(35.7124105538004, 139.706563865451)","(33.5797340853351, 130.401762444701)","(33.8618400940539, 130.751425402895)","(35.7034722044097, 139.470149586499)","(34.7528255827152, 134.84764167701)","(37.9098086109062, 139.062169682261)","(35.7316384246169, 139.558725129422)","(34.6649455287861, 135.530684753628)","(34.7526220020618, 135.495215366821)","(35.7329919391343, 139.733984177229)","(35.7712603764982, 139.691129568101)","(34.8128200803455, 135.567196195081)","(35.6065644629997, 139.722434229872)","(38.2211741466384, 140.864111861762)","(34.6188256463165, 135.511015877611)","(37.4475520983702, 138.841401954853)","(34.8285115727567, 138.194795335294)","(35.7487613697795, 139.333801249646)","(41.7867642774289, 140.743511351584)","(34.6961072081487, 135.484354119315)","(35.6754199339039, 139.658380363957)","(35.6631812401236, 139.671710927319)","(34.6541547389256, 135.59431702676)","(42.9426007881073, 141.381244720474)","(35.700459562678, 139.701280416651)","(37.9218089873865, 139.111617459975)","(43.7748457584393, 142.37740311615)","(35.6674650422837, 139.712665228437)","(34.6575376688925, 135.465790031662)","(38.586508041042, 140.941775545589)","(35.0169242595713, 138.483531738964)","(34.7013913398396, 135.553402986219)","(38.3305179893434, 141.021907735053)","(43.0710451863794, 141.309260567281)","(35.6273684971615, 139.684337716716)","(34.7168187850391, 135.252629859974)","(35.6373649334246, 139.593794420619)","(38.3282072863035, 140.873967041258)","(35.6500406201583, 139.633061874363)","(35.6572000631066, 139.437613780568)","(33.5690428275857, 130.610252475554)","(35.6066348830337, 139.668428354733)","(37.8968937017632, 139.038831703075)","(35.7019030598891, 139.52388554909)","(37.8697297318579, 138.971622613575)","(34.89895181957, 138.344235678092)","(35.6245326769377, 139.421325138687)","(38.2680706340227, 140.883916167353)","(35.7563293056277, 139.554190917653)","(37.1397777679231, 138.251520899663)","(35.6194544011121, 139.704180393047)","(35.6198993105808, 139.633401431252)","(34.9345598371853, 139.096332944694)","(34.3874999304076, 132.661308799626)","(34.8192452150664, 135.455217027399)","(35.2286300184325, 138.616270553172)","(37.838267244892, 139.104301421225)","(33.459353333184, 130.501845827137)","(34.5343100355169, 135.574890561587)","(37.5704782355036, 138.873286079977)","(33.6253345645257, 130.431896363042)","(43.4737679144369, 142.121081840925)","(37.9496613371687, 139.320881857858)"
aichi__ai-xi-kana__isaai,35.2166666667,136.698333333,273.807154799,189.740364869,282.725621176,612.251949617,289.253535763,398.263483379,275.946323374,142.818159772,125.057100223,276.900552114,157.000031266,108.983693943,193.854042532,285.281832279,288.26231765,606.425837092,277.637647343,149.410727718,109.757270415,121.601595945,133.871423727,132.889271353,158.600261678,281.452972895,281.920620538,274.231665004,256.335778887,958.354182826,605.65466179,503.49563887,123.923427919,283.712160001,366.435353992,279.351095698,959.045862572,315.560177336,280.084636925,283.923643871,1066.52092044,252.588937354,128.487551664,125.409960441,606.318302092,1066.37160304,262.822458062,169.587013715,503.065900473,607.175190958,123.561868313,279.939308677,398.614123046,277.411666993,962.602447021,366.397765435,106.740547832,959.554250845,606.967502173,248.216372855,280.322127397,283.461717511,288.506997017,149.527255639,604.838335559,553.450490822,247.191723849,954.992114586,278.526940896,606.652157369,566.112935199,257.331339806,176.63584684,366.153599285,265.806777465,122.981103401,121.314640524,281.388369367,278.426177834,112.542344702,278.048680503,499.566002122,127.161034193,313.513182575,143.198018563,246.335053952,809.94269058,125.017283912,273.508507122,274.469429543,118.605826137,948.201556743,277.817510684,369.798275921,1067.72651779,278.205134713,128.555830728,531.748592084,164.235078868,119.174281013,517.948164017,958.368197007,274.970006091,143.199606005,267.040799893,508.021650444,270.777688527,253.474827891,588.798446959,273.205894451,363.788306017,262.068643986,357.894636128,154.22539779,251.395437462,504.277318893,265.969332778,255.057855697,276.617098933,270.283478403,220.929686406,380.66588588,121.721628017,174.611730384,361.992653337,602.451284108,127.592239469,326.005261925,602.362086249,1028.44244608,383.4506221
aichi__aki-kana__azo,35.0783333333,137.413333333,214.31388022,251.796991682,223.331674106,671.824799961,230.175685378,459.751285556,217.965106235,203.795368129,180.58630166,217.539524628,90.3133380697,166.463600734,128.870772514,226.410049452,228.747821793,665.984383805,218.715340356,207.5573979,49.512839293,177.747062039,186.298721052,191.641942969,216.699447455,223.574503996,223.054776252,215.595794131,195.44401922,948.625455309,665.223906619,469.782158986,179.861570067,224.668235211,347.539549328,220.940512086,949.350774199,376.474047924,220.730359435,224.688331526,1046.182723,192.315172405,186.599700646,180.235553042,665.687810276,1054.07669943,203.973397282,228.281617475,469.449292153,666.729322394,179.922821718,220.189524484,460.203476358,217.86117615,953.017395344,347.791791323,165.963824101,949.38373454,664.869670833,190.130075377,221.277579336,223.506106008,230.160454114,200.806374843,664.369560067,613.886923009,188.651500532,945.08379343,219.883099216,666.157221212,626.613132977,199.316706562,237.215157312,347.183853868,207.916058093,178.13267806,178.963901967,222.952323535,220.672597702,171.192404787,217.93283941,465.589836606,181.289276435,292.536681428,76.57018895,189.622190995,799.244277461,181.357626356,214.482082173,215.235985844,172.850113827,937.963664658,219.021561011,350.285067224,1055.37409076,218.923271731,184.086458825,500.548171512,97.8767244937,175.080923477,483.873722547,948.91811217,215.215768745,201.518731498,207.652897674,474.983535404,211.463835578,194.845811028,647.950412743,213.210721291,345.004930702,203.842976626,339.766677502,87.290481157,192.311129658,470.602451309,208.474886568,240.865291657,216.710984696,210.550609585,154.449804683,441.858495756,181.155722455,110.868817438,341.702176879,661.181613631,178.717436721,306.027812269,662.058603345,1016.29155619,361.527761079
aichi__centrair-kana__centrair,34.8583333333,136.805,274.745122159,195.009654287,283.765888128,612.414100714,290.65267954,401.582652669,278.584672946,146.787043085,121.165140622,277.988604289,145.894935721,108.10088639,187.06565769,286.922729516,289.151435445,606.571707095,279.230887775,148.822122799,86.8096333107,118.588048059,126.033371233,133.432891076,157.840851848,284.197820978,283.572553256,276.152448541,255.594561215,991.276330161,605.816056518,524.904067913,120.593441676,285.1579744,394.834188979,281.516881501,991.98048309,318.157433098,281.17556764,285.147637503,1095.22838537,252.633122327,128.145929693,120.595532974,606.200553124,1098.40039004,264.518510746,169.583677752,524.528881559,607.314374959,120.811755347,280.561636755,402.100686265,278.27598609,995.578519675,394.921353714,108.584438433,992.317512743,604.899478024,250.765239484,281.771889193,283.828530886,290.734481511,140.299078205,604.946942363,554.908009605,249.250588524,987.847693586,280.433756245,606.722960423,567.65467185,259.949087474,179.484424439,394.519339224,268.55033953,118.621494489,120.421614901,283.52381042,281.307158054,113.334212882,278.229941926,520.817090807,121.441119159,340.749149127,127.155101983,250.301872683,842.413712564,122.216522598,274.988568748,275.709775007,113.137562368,980.933914529,279.553916366,397.942180806,1099.73407562,279.383520159,124.618924199,554.607694575,154.350375568,115.875781758,539.173796192,991.390198151,275.596035627,142.941510726,268.113563524,529.821394192,271.93050268,255.42837594,588.392173364,273.544512575,392.225008096,264.454560462,386.587958312,140.791888566,252.84248358,525.709162745,269.132105426,284.759450792,277.057098315,270.943754252,209.600820724,383.540876617,123.535587634,170.28672322,389.76346878,601.466270492,118.299929235,353.750375168,602.705152239,1060.50781601,410.57008287
aichi__chapel-mountain-kana__chaw-yama,35.22,137.66,188.315294588,275.990496918,197.315051886,697.208268876,204.066820064,484.364744968,191.518327017,228.301789254,206.419922163,191.501797198,72.28304687,191.808257054,106.42785166,200.23057222,202.78119993,691.370955911,192.538162699,232.92208648,55.7556878767,203.444020855,212.678627801,216.790391323,242.105380531,197.110977888,196.867782299,189.326421839,169.960066141,926.327632489,690.606878627,443.310688028,205.611073106,198.539491914,324.163195938,194.615753213,927.060669905,401.264328516,194.695958563,198.621267965,1021.50363009,166.563078998,211.893115033,206.199071667,691.133716739,1031.09916541,177.745675635,253.564689643,442.991044909,692.117487102,205.585929849,194.291509607,484.774661079,191.888693513,930.75161721,324.483527477,190.863252072,926.977393084,690.728571647,163.654459263,195.143219568,197.689036126,203.833335591,227.398199978,689.764406724,638.962538748,162.298466607,922.744601209,193.623805317,691.560802208,651.66920366,172.842361694,261.9458104,323.791582597,181.426999744,204.025934806,204.335105364,196.638286695,194.172362129,196.274617261,192.167167954,439.088228006,207.380022629,268.970491607,65.3326409386,162.825054618,776.839630548,207.031965412,188.329833989,189.151785709,198.878460019,915.549388546,192.806199958,326.749761103,1032.38252945,192.861615783,209.936353979,474.395674503,78.3777943364,200.812598844,457.340911527,926.688622353,189.310700934,226.818449557,181.605930277,448.597458002,185.399262249,168.532732887,673.458128348,187.390898156,321.667673314,177.434513809,316.614003523,71.8644915407,166.13234929,444.135228323,181.888864725,219.567050411,190.864045873,184.629389034,134.76867989,466.582708277,206.070761037,87.0622162393,318.025164448,686.816272115,205.2410882,282.616525002,687.399839043,993.369250976,337.396234214
aichi__gamagori-kana__gamagori,34.845,137.216666667,240.071396956,232.657816259,249.079769127,649.076974213,256.067698693,438.899233348,244.574215291,184.44064098,158.242286169,243.353790735,108.678382667,145.613914158,150.493472712,252.453253437,254.378725092,643.234509794,244.787287283,186.145710891,49.7232433379,155.809290444,162.304729842,170.934126336,195.101610485,250.196505948,249.126662148,241.859820362,220.413881827,979.096193177,642.482485455,501.156860233,157.755740047,250.621522518,378.591695343,247.291011597,979.81766394,355.46108292,246.523496546,250.524721423,1077.55487066,217.759375099,165.595991783,157.533817883,642.80850933,1084.85427427,230.211119578,206.886297806,500.828924099,643.975377541,158.048451049,245.734469429,439.436976012,243.553382181,983.471980217,378.820175755,146.23734842,979.906962137,641.055898875,216.921688197,247.256399263,248.888724951,256.479227961,176.019773725,641.602978162,591.850156424,215.209031931,975.575042272,246.108891272,643.370144367,604.604554284,226.06176561,217.027630815,378.241617815,234.653313852,155.652592786,157.862833026,249.273289449,247.38205763,150.93040955,243.251793011,496.952672863,158.211988775,323.676734019,89.4868884565,217.101782223,829.784716232,159.435657118,240.525752259,241.14786238,150.050467958,968.491875886,245.165649118,381.389716525,1086.15773019,244.775652252,161.657521559,532.012077607,117.306920973,153.083476998,515.224174195,979.355288095,240.798216732,180.328489342,233.533049698,506.388139163,237.357379749,221.293493792,624.949274323,238.650613698,376.044650271,230.434478732,370.743372821,103.266822358,218.517804465,501.97877735,235.412923182,271.180860414,242.181114274,236.186298007,172.105534194,420.815831542,161.150492324,134.613592918,372.855680104,637.885929393,154.334071889,337.111184688,639.410354002,1047.0473945,392.808123536
aichi__horai-kana__horai____2002-12-24,34.9316666667,137.575,206.144397456,265.525667193,215.143712633,683.043453385,222.157462719,472.4287639,210.871169219,217.312206655,191.962936213,209.436334819,75.0759860772,178.902060331,116.428282342,218.581204951,220.415516823,677.200884184,210.929075898,219.671960557,27.70903521,189.426824072,196.333440383,204.232379945,228.688710225,216.491321451,215.264539807,208.055318875,186.366345787,959.102721517,676.447487926,473.151792057,191.418638843,216.729523762,356.734977659,213.505452222,959.837184206,389.005962446,212.598917242,216.606401336,1053.29213289,183.789266481,198.973671514,191.333264262,676.794451452,1063.7062384,196.412047249,240.433693986,472.85773399,677.942438432,191.653654817,211.760892959,472.94354592,209.610003421,963.532525793,357.076937293,179.152842701,959.731171132,675.150112699,183.32116138,213.373226311,214.884697624,222.675823494,210.133704002,675.571823209,625.684920843,181.528720116,955.511898128,212.289615823,677.342270155,638.435075257,192.429719208,250.232282237,356.358300148,201.006257456,189.400495982,191.254254976,215.477313504,213.709305581,184.04288085,209.240846867,468.873501314,192.088386587,301.504817902,57.80637387,183.796974628,809.599955249,193.055401179,206.664444525,207.254276866,183.859730746,948.301951136,211.325545834,359.266170696,1064.98534977,210.865439547,195.402793559,504.764329028,83.5012508248,186.711320253,487.05095724,959.476233553,206.835241484,213.784993738,199.639090362,478.594171868,203.462956749,187.568364244,658.951487258,204.663011739,354.253023749,196.743285609,349.256709558,70.3878485493,184.724477662,473.983934611,201.838718129,252.481113249,208.196408019,202.237325987,138.991648488,454.39063572,194.201057893,100.514881576,350.492814238,671.927269922,188.402985936,315.195524782,673.360309443,1025.99405985,369.654695098
aichi__ichinomiya-kana__ichinomiya,35.2983333333,136.853333333,258.332380761,205.548428921,267.216224842,628.278688318,273.675015355,413.988349567,260.204252336,158.971393384,141.784423814,261.39505482,144.98764354,125.64312966,180.296359037,269.672907313,272.766665961,622.456254001,262.050539373,165.933592636,103.089801382,138.309447648,150.634402202,149.385694902,175.111254908,265.685640321,266.316199584,258.60047342,241.192307047,944.479469286,621.683472969,487.02729799,140.636868088,268.136510844,351.029755229,263.672951294,945.176148979,331.464395993,264.572286316,268.38259116,1051.32546064,237.315728947,145.056003528,142.156850786,622.379639551,1052.16826956,247.24983762,186.015747458,486.602595623,623.20617316,140.25707797,264.503551545,414.315038372,261.941393205,948.749494409,351.022066288,123.259370498,945.617230371,623.236817413,232.544952722,264.752299866,268.061194322,272.803439991,166.283992258,620.873638261,569.336850865,231.598377623,941.090861735,262.889638304,622.691368938,581.983391011,241.62910423,192.779841407,350.739982732,250.068472125,139.721948248,137.935923228,265.711072197,262.644476272,129.101294713,262.690660067,483.082405034,143.919332556,297.816269619,133.002111392,230.461970522,795.880271447,141.711349052,257.947388272,258.944448422,135.366398949,934.251663197,262.207792956,354.334695308,1053.51570033,262.682502878,145.279301765,515.439516893,151.775604111,135.895004164,501.465708861,944.5333021,259.54403139,159.717762291,251.55868625,491.592042758,255.274491803,237.882924351,604.898023245,257.83181041,348.390288325,246.391218832,342.555594086,142.975157041,235.889178739,487.811322883,250.16995083,239.900920155,261.218581442,254.862010452,208.408624747,396.467019109,138.170159349,160.601890337,346.440513511,618.610669023,144.332074236,310.425497789,618.370225475,1014.24968209,367.771056503
aichi__ikki-kana__ishiki,34.8116666667,137.028333333,257.427390842,215.479490496,266.4407918,631.462288743,273.408892943,421.409150023,261.780153129,167.290268389,140.71216481,260.70235663,126.2617647,128.286614653,168.111325966,269.768224569,271.759139544,625.619851775,262.0943011,168.687372167,65.8159377883,138.322244479,144.685144553,153.584653005,177.615658674,267.402183315,266.435452302,259.131589307,237.866468686,988.612281,624.868024896,515.128507924,140.248994071,267.950742834,389.550689351,264.549038907,989.326652997,337.970379711,263.876615477,267.872650842,1089.3167919,235.150869263,148.212183183,139.974235366,625.191323574,1094.95100727,247.482353564,189.413689559,514.782926073,626.360620818,140.565862945,263.124003166,421.955032073,260.920671074,992.958100993,389.721557981,129.102852309,989.519070965,623.440691148,234.075026185,264.580088742,266.301649024,273.746876943,158.411552579,623.987976798,574.262366964,232.410820933,985.129087847,263.38941809,625.754690615,587.017711397,243.230219411,199.700053626,389.214688174,251.827750274,138.112538864,140.476876718,266.537669543,264.568217994,133.687378217,260.670994365,510.966122921,140.626516907,334.915577644,106.732483859,234.086124991,839.459516754,141.946389105,257.835784103,258.479997549,132.488796964,978.115235963,262.460321215,392.477874249,1096.26706432,262.118802616,144.11709399,545.564803053,134.914960771,135.593026129,529.275860507,988.810885522,258.180477209,162.902292421,250.866990561,520.245126495,254.690855799,238.520561672,607.330428662,256.051954147,386.975820538,247.637453657,381.531758108,120.725464176,235.788702298,515.944501303,252.543092727,280.886945058,259.57970796,253.558930235,189.562321608,403.310747987,143.929561307,152.125682705,384.080613065,620.265107467,136.713676046,348.189162448,621.798192933,1057.1038789,404.396417662
aichi__inake-kana__inab,35.2116666667,137.506666667,202.054335394,262.043019442,211.045046255,683.405477937,217.763593239,470.444546677,205.080396918,214.393691914,192.803807633,205.227161166,85.1240155735,178.060004393,120.299218267,213.903231955,216.524894712,677.569025256,206.214691411,219.161744994,58.3551528022,189.785437219,199.289183563,202.988101662,228.351990009,210.662282266,210.538920123,202.968487671,183.831568776,931.827908701,676.804184316,453.008115228,191.967787064,212.231275467,330.551245158,208.232385916,932.554690682,387.371164439,208.421195933,212.334301989,1029.12001256,180.378811301,198.123857156,192.629221355,677.345110129,1037.16552064,191.409537267,239.77969013,452.6696176,678.31588219,191.916042611,208.058318328,470.849681335,205.634431827,936.225973393,330.811178787,177.024191721,932.566174129,677.052504746,177.21711462,208.834299732,211.476890569,217.445194613,214.123050281,675.96434578,625.101996323,175.919026086,928.278463932,207.268119833,677.762617848,637.804975503,186.400279669,248.060297381,330.193771193,194.972912023,190.431719776,190.58726405,210.258663476,207.706355364,182.46707569,205.970047351,448.829368601,193.859387054,275.523774999,75.8354524834,176.194432476,782.423231523,193.364737059,202.017227767,202.862664294,185.337594805,921.144417395,206.468169526,333.280328548,1038.46081218,206.578604509,196.323990209,483.658509886,91.6349875062,187.166158187,467.126098896,932.133483192,203.077276884,213.045138698,195.332270578,458.174178015,199.1182406,182.166858437,659.68469064,201.181520813,328.020755033,191.021719069,322.803885118,83.9155683107,179.820455244,453.826517983,195.382465007,224.193521499,204.646216182,198.393081913,148.210131589,452.676801157,192.228485663,101.038666675,324.683514913,673.074658447,191.936524716,289.031617344,673.588278358,999.388286995,344.478098903
aichi__iragaka-kana__iraco,34.6283333333,137.093333333,260.290117545,222.786233727,269.245649793,633.91703033,276.326417493,426.066313886,265.511596923,175.040908292,146.010308782,263.604902334,125.220751671,135.440820875,168.273909636,272.860212966,274.417789128,628.07919466,265.254718754,174.452221824,60.0672550465,144.109979649,148.004110666,160.310642776,183.058727366,271.121024613,269.573773577,262.508102585,240.078005077,1005.55507914,627.336754145,526.901030989,145.81473434,270.958425276,405.149197968,267.989740018,1006.27547199,342.757659893,266.740752072,270.760384384,1104.0406695,237.839140839,154.751386525,144.893541961,627.520214366,1111.38346842,250.894351176,194.904092997,526.583719079,628.815007715,146.371328562,265.741181754,426.689930173,263.698100735,1009.92629822,405.377744727,137.320044552,1006.38003033,624.79682152,238.151610052,267.631222069,268.739589593,277.110233711,160.511254076,626.432350822,577.493571459,236.247649301,1002.03960279,266.704059968,628.176336028,590.258688365,247.204387776,206.232370521,404.799038224,255.747771064,143.317978827,147.082571815,269.937334986,268.395556247,141.278973459,263.076973135,522.672404911,145.107574087,350.229174795,103.296191527,238.92731702,856.264131346,147.67172805,260.98926171,261.494305427,137.465602897,994.966378149,265.694023529,407.945401405,1112.68798706,265.052723932,149.251508818,557.978284796,134.287879093,141.379274982,540.916272003,1005.80472156,260.862546879,168.984003259,253.891365131,532.198230442,257.707211122,242.204513818,609.556093028,258.604038841,402.602242122,251.422318615,397.299698734,118.388679732,239.238308817,527.726325175,256.679629575,297.63186976,262.141705898,256.320738413,186.452394614,407.84123601,151.526965105,154.260072258,399.407177577,622.171772936,139.706747373,363.667709981,624.36414876,1073.57280965,419.333947461
