id,prefecture,first_name,second_name,latitude,longitude,altitude,date_terminated
fukuoka__dazaifu-kana__dasaif,fukuoka,dazaifu-kana,dasaif,33.4966666667,130.49,52.0,
fukuoka__fukuoka-kana__fukuoka,fukuoka,fukuoka-kana,fukuoka,33.5816666667,130.375,2.5,
fukuoka__hakata-kana__hakata,fukuoka,hakata-kana,hakata,33.5833333333,130.451666667,9.0,
fukuoka__iizuka-kana__ikka,fukuoka,iizuka-kana,ikka,33.6516666667,130.693333333,37.1,
fukuoka__kuroki-kana__kuroigi,fukuoka,kuroki-kana,kuroigi,33.225,130.645,144.0,
fukuoka__kurume-kana__kurume,fukuoka,kurume-kana,kurume,33.3033333333,130.493333333,7.0,
fukuoka__maehara-kana__maebaru,fukuoka,maehara-kana,maebaru,33.56,130.19,5.0,
fukuoka__yawata-kana__yahata,fukuoka,yawata-kana,yahata,33.8516666667,130.743333333,20.0,
hiroshima__fukuyama-kana__fukuyama,hiroshima,fukuyama-kana,fukuyama,34.4466666667,133.246666667,1.6,
hiroshima__higashi-hiroshima-kana__hiroshi-hiroshima,hiroshima,higashi-hiroshima-kana,hiroshi-hiroshima,34.4166666667,132.7,224.0,
hiroshima__hiroshima-kana__hiroshima,hiroshima,hiroshima-kana,hiroshima,34.3983333333,132.461666667,3.6,
hokkaido_okhotsk__abashiri-kana__abashiri,hokkaido_okhotsk,abashiri-kana,abashiri,44.0166666667,144.278333333,37.6,
hokkaido_ishikari__koganei-kana__koganeune,hokkaido_ishikari,koganei-kana,koganeune,42.9633333333,141.216666667,230.0,
hokkaido_ishikari__sapporo-katakana__satporo,hokkaido_ishikari,sapporo-katakana,satporo,43.06,141.328333333,17.4,
hokkaido_kamikawa__asahikawa-kana__asahikawa,hokkaido_kamikawa,asahikawa-kana,asahikawa,43.7566666667,142.371666667,119.8,
hokkaido_oshima--watashima__hakodate-kana__hakodate,hokkaido_oshima--watashima,hakodate-kana,hakodate,41.8166666667,140.753333333,35.0,
hokkaido_sorachi__ashiba-kana__ashibetsu,hokkaido_sorachi,ashiba-kana,ashibetsu,43.52,142.19,91.0,
hokkaido_tokachi__honketsu-kana__hombetsu,hokkaido_tokachi,honketsu-kana,hombetsu,43.0,143.6,67.0,
hokkaido_tokachi__komaba-kana__NONE,hokkaido_tokachi,komaba-kana,NONE,43.05,143.183333333,112.0,
